,wind_pred,wind_actual,solar_pred,solar_actual,price_intraday
2021-02-01 00:00:00+01:00,11918.194388428235,12852.0,0.0,0.0,38.78
2021-02-01 00:15:00+01:00,11918.194388428235,13028.0,0.0,0.0,38.435
2021-02-01 00:30:00+01:00,11918.194388428235,12957.0,0.0,0.0,38.09
2021-02-01 00:45:00+01:00,11918.194388428235,13024.0,0.0,0.0,37.745
2021-02-01 01:00:00+01:00,12895.707992843312,13246.0,0.0,0.0,37.4
2021-02-01 01:15:00+01:00,12895.707992843312,13355.0,0.0,0.0,37.644999999999996
2021-02-01 01:30:00+01:00,12895.707992843312,13441.0,0.0,0.0,37.89
2021-02-01 01:45:00+01:00,12895.707992843312,13598.0,0.0,0.0,38.135000000000005
2021-02-01 02:00:00+01:00,14361.30536619275,13665.0,0.0,0.0,38.38
2021-02-01 02:15:00+01:00,14361.30536619275,13973.0,0.0,0.0,37.0225
2021-02-01 02:30:00+01:00,14361.30536619275,14035.0,0.0,0.0,35.665000000000006
2021-02-01 02:45:00+01:00,14361.30536619275,14147.0,0.0,0.0,34.307500000000005
2021-02-01 03:00:00+01:00,14995.05545674968,14386.0,0.0,0.0,32.95
2021-02-01 03:15:00+01:00,14995.05545674968,14431.0,0.0,0.0,32.935
2021-02-01 03:30:00+01:00,14995.05545674968,14654.0,0.0,0.0,32.92
2021-02-01 03:45:00+01:00,14995.05545674968,14762.0,0.0,0.0,32.905
2021-02-01 04:00:00+01:00,15136.799148590911,15097.0,0.0,0.0,32.89
2021-02-01 04:15:00+01:00,15136.799148590911,15288.0,0.0,0.0,35.0375
2021-02-01 04:30:00+01:00,15136.799148590911,15622.0,0.0,0.0,37.185
2021-02-01 04:45:00+01:00,15136.799148590911,15756.0,0.0,0.0,39.332499999999996
2021-02-01 05:00:00+01:00,15383.598536476062,15967.0,0.0,0.0,41.48
2021-02-01 05:15:00+01:00,15383.598536476062,15985.0,0.0,0.0,42.3575
2021-02-01 05:30:00+01:00,15383.598536476062,16129.0,0.0,0.0,43.235
2021-02-01 05:45:00+01:00,15383.598536476062,16332.0,0.0,0.0,44.1125
2021-02-01 06:00:00+01:00,15809.497992869843,16545.0,0.0,0.0,44.99
2021-02-01 06:15:00+01:00,15809.497992869843,16635.0,0.0,0.0,49.2975
2021-02-01 06:30:00+01:00,15809.497992869843,16695.0,0.0,0.0,53.605000000000004
2021-02-01 06:45:00+01:00,15809.497992869843,16767.0,0.0,0.0,57.9125
2021-02-01 07:00:00+01:00,16200.104394900442,16925.0,4.797349826775282,0.0,62.22
2021-02-01 07:15:00+01:00,16200.104394900442,16923.0,4.797349826775282,0.0,60.9675
2021-02-01 07:30:00+01:00,16200.104394900442,16909.0,4.797349826775282,13.0,59.715
2021-02-01 07:45:00+01:00,16200.104394900442,16848.0,4.797349826775282,55.0,58.4625
2021-02-01 08:00:00+01:00,15449.5985011865,16706.0,679.4843075634208,143.0,57.21
2021-02-01 08:15:00+01:00,15449.5985011865,16408.0,679.4843075634208,277.0,57.525
2021-02-01 08:30:00+01:00,15449.5985011865,16258.0,679.4843075634208,555.0,57.84
2021-02-01 08:45:00+01:00,15449.5985011865,15817.0,679.4843075634208,915.0,58.155
2021-02-01 09:00:00+01:00,14387.543162573013,15366.0,2467.766315543202,1301.0,58.47
2021-02-01 09:15:00+01:00,14387.543162573013,14991.0,2467.766315543202,1706.0,60.3675
2021-02-01 09:30:00+01:00,14387.543162573013,14517.0,2467.766315543202,2146.0,62.265
2021-02-01 09:45:00+01:00,14387.543162573013,14109.0,2467.766315543202,2610.0,64.1625
2021-02-01 10:00:00+01:00,12383.443143203234,13140.0,3927.771572460121,3086.0,66.06
2021-02-01 10:15:00+01:00,12383.443143203234,12575.0,3927.771572460121,3587.0,65.35
2021-02-01 10:30:00+01:00,12383.443143203234,12297.0,3927.771572460121,4045.0,64.64
2021-02-01 10:45:00+01:00,12383.443143203234,11738.0,3927.771572460121,4403.0,63.93
2021-02-01 11:00:00+01:00,9807.46024282224,11430.0,5531.974715990615,4855.0,63.22
2021-02-01 11:15:00+01:00,9807.46024282224,10744.0,5531.974715990615,5157.0,61.625
2021-02-01 11:30:00+01:00,9807.46024282224,10201.0,5531.974715990615,5396.0,60.03
2021-02-01 11:45:00+01:00,9807.46024282224,9719.0,5531.974715990615,5546.0,58.435
2021-02-01 12:00:00+01:00,7538.938550291229,9443.0,5539.4352849886,5661.0,56.84
2021-02-01 12:15:00+01:00,7538.938550291229,9048.0,5539.4352849886,5584.0,58.095
2021-02-01 12:30:00+01:00,7538.938550291229,8743.0,5539.4352849886,5552.0,59.35
2021-02-01 12:45:00+01:00,7538.938550291229,8470.0,5539.4352849886,5361.0,60.605000000000004
2021-02-01 13:00:00+01:00,6693.45956583327,8334.0,4603.746495100471,5114.0,61.86
2021-02-01 13:15:00+01:00,6693.45956583327,8041.0,4603.746495100471,4910.0,61.795
2021-02-01 13:30:00+01:00,6693.45956583327,7677.0,4603.746495100471,4622.0,61.730000000000004
2021-02-01 13:45:00+01:00,6693.45956583327,7319.0,4603.746495100471,4369.0,61.665
2021-02-01 14:00:00+01:00,7227.731610249057,7260.0,3466.056147509934,3972.0,61.6
2021-02-01 14:15:00+01:00,7227.731610249057,7120.0,3466.056147509934,3644.0,62.6375
2021-02-01 14:30:00+01:00,7227.731610249057,6953.0,3466.056147509934,3309.0,63.675
2021-02-01 14:45:00+01:00,7227.731610249057,6979.0,3466.056147509934,2911.0,64.7125
2021-02-01 15:00:00+01:00,7534.461726188545,7011.0,2050.1989457210325,2522.0,65.75
2021-02-01 15:15:00+01:00,7534.461726188545,6974.0,2050.1989457210325,2061.0,64.175
2021-02-01 15:30:00+01:00,7534.461726188545,6937.0,2050.1989457210325,1651.0,62.6
2021-02-01 15:45:00+01:00,7534.461726188545,6866.0,2050.1989457210325,1230.0,61.025000000000006
2021-02-01 16:00:00+01:00,7741.4806915174895,6791.0,587.4574497835672,857.0,59.45
2021-02-01 16:15:00+01:00,7741.4806915174895,6876.0,587.4574497835672,525.0,60.977500000000006
2021-02-01 16:30:00+01:00,7741.4806915174895,6880.0,587.4574497835672,265.0,62.505
2021-02-01 16:45:00+01:00,7741.4806915174895,6946.0,587.4574497835672,97.0,64.0325
2021-02-01 17:00:00+01:00,7814.017680438326,6939.0,12.318818271682195,20.0,65.56
2021-02-01 17:15:00+01:00,7814.017680438326,6796.0,12.318818271682195,2.0,64.15
2021-02-01 17:30:00+01:00,7814.017680438326,6730.0,12.318818271682195,0.0,62.74
2021-02-01 17:45:00+01:00,7814.017680438326,6645.0,12.318818271682195,0.0,61.33
2021-02-01 18:00:00+01:00,7461.385894101865,6521.0,0.0,0.0,59.92
2021-02-01 18:15:00+01:00,7461.385894101865,6329.0,0.0,0.0,61.087500000000006
2021-02-01 18:30:00+01:00,7461.385894101865,6350.0,0.0,0.0,62.255
2021-02-01 18:45:00+01:00,7461.385894101865,6250.0,0.0,0.0,63.4225
2021-02-01 19:00:00+01:00,7065.423261434942,6198.0,0.0,0.0,64.59
2021-02-01 19:15:00+01:00,7065.423261434942,5975.0,0.0,0.0,65.065
2021-02-01 19:30:00+01:00,7065.423261434942,5747.0,0.0,0.0,65.53999999999999
2021-02-01 19:45:00+01:00,7065.423261434942,5620.0,0.0,0.0,66.015
2021-02-01 20:00:00+01:00,6281.7855626572455,5505.0,0.0,0.0,66.49
2021-02-01 20:15:00+01:00,6281.7855626572455,5541.0,0.0,0.0,63.082499999999996
2021-02-01 20:30:00+01:00,6281.7855626572455,5581.0,0.0,0.0,59.675
2021-02-01 20:45:00+01:00,6281.7855626572455,5523.0,0.0,0.0,56.2675
2021-02-01 21:00:00+01:00,5097.631643170561,5497.0,0.0,0.0,52.86
2021-02-01 21:15:00+01:00,5097.631643170561,5391.0,0.0,0.0,52.79
2021-02-01 21:30:00+01:00,5097.631643170561,5395.0,0.0,0.0,52.72
2021-02-01 21:45:00+01:00,5097.631643170561,5345.0,0.0,0.0,52.65
2021-02-01 22:00:00+01:00,4351.695574696245,5301.0,0.0,0.0,52.58
2021-02-01 22:15:00+01:00,4351.695574696245,5502.0,0.0,0.0,50.845
2021-02-01 22:30:00+01:00,4351.695574696245,5518.0,0.0,0.0,49.11
2021-02-01 22:45:00+01:00,4351.695574696245,5263.0,0.0,0.0,47.375
2021-02-01 23:00:00+01:00,4160.436086395625,5369.0,0.0,0.0,45.64
2021-02-01 23:15:00+01:00,4160.436086395625,5543.0,0.0,0.0,45.64
2021-02-01 23:30:00+01:00,4160.436086395625,5692.0,0.0,0.0,45.64
2021-02-01 23:45:00+01:00,4160.436086395625,5763.0,0.0,0.0,45.64
2021-02-01 23:00:00+01:00,4534.955529525369,,0.0,,
2021-02-01 23:15:00+01:00,4534.955529525369,,0.0,,
2021-02-01 23:30:00+01:00,4534.955529525369,,0.0,,
2021-02-01 23:45:00+01:00,4534.955529525369,,0.0,,
2021-02-02 00:00:00+01:00,4749.0134468268225,5960.0,0.0,0.0,44.0
2021-02-02 00:15:00+01:00,4749.0134468268225,6028.0,0.0,0.0,43.505
2021-02-02 00:30:00+01:00,4749.0134468268225,6011.0,0.0,0.0,43.010000000000005
2021-02-02 00:45:00+01:00,4749.0134468268225,6154.0,0.0,0.0,42.515
2021-02-02 01:00:00+01:00,4882.934932280442,6326.0,0.0,0.0,42.02
2021-02-02 01:15:00+01:00,4882.934932280442,6485.0,0.0,0.0,39.465
2021-02-02 01:30:00+01:00,4882.934932280442,6587.0,0.0,0.0,36.910000000000004
